,Unnamed: 0,count(time),time
227,227,88,11:49:00 AM
228,228,141,11:49:00 PM
229,229,75,11:50:00 AM
230,230,123,11:50:00 PM
231,231,86,11:51:00 AM
232,232,141,11:51:00 PM
233,233,90,11:52:00 AM
234,234,127,11:52:00 PM
235,235,88,11:53:00 AM
236,236,113,11:53:00 PM
237,237,85,11:54:00 AM
238,238,131,11:54:00 PM
239,239,97,11:55:00 AM
240,240,136,11:55:00 PM
241,241,89,11:56:00 AM
242,242,127,11:56:00 PM
243,243,104,11:57:00 AM
244,244,106,11:57:00 PM
245,245,77,11:58:00 AM
246,246,114,11:58:00 PM
247,247,89,11:59:00 AM
248,248,120,11:59:00 PM
249,249,122,12:00:00 AM
250,250,180,12:00:00 PM
251,251,117,12:01:00 AM
252,252,91,12:01:00 PM
253,253,120,12:02:00 AM
254,254,76,12:02:00 PM
255,255,119,12:03:00 AM
256,256,89,12:03:00 PM
257,257,104,12:04:00 AM
258,258,82,12:04:00 PM
259,259,134,12:05:00 AM
260,260,74,12:05:00 PM
261,261,126,12:06:00 AM
262,262,84,12:06:00 PM
263,263,114,12:07:00 AM
264,264,91,12:07:00 PM
265,265,122,12:08:00 AM
266,266,86,12:08:00 PM
267,267,114,12:09:00 AM
268,268,94,12:09:00 PM
269,269,109,12:10:00 AM
270,270,111,12:10:00 PM
271,271,96,12:11:00 AM
272,272,91,12:11:00 PM
273,273,128,12:12:00 AM
274,274,88,12:12:00 PM
275,275,126,12:13:00 AM
276,276,83,12:13:00 PM
277,277,116,12:14:00 AM
278,278,104,12:14:00 PM
279,279,120,12:15:00 AM
280,280,154,12:15:00 PM
281,281,129,12:16:00 AM
282,282,85,12:16:00 PM
283,283,1,12:16:56 AM
284,284,122,12:17:00 AM
285,285,85,12:17:00 PM
286,286,104,12:18:00 AM
287,287,84,12:18:00 PM
288,288,1,12:18:35 AM
289,289,1,12:18:46 AM
290,290,102,12:19:00 AM
291,291,81,12:19:00 PM
292,292,106,12:20:00 AM
293,293,90,12:20:00 PM
294,294,131,12:21:00 AM
295,295,90,12:21:00 PM
296,296,124,12:22:00 AM
297,297,91,12:22:00 PM
298,298,110,12:23:00 AM
299,299,99,12:23:00 PM
300,300,126,12:24:00 AM
301,301,91,12:24:00 PM
302,302,131,12:25:00 AM
303,303,101,12:25:00 PM
304,304,130,12:26:00 AM
305,305,112,12:26:00 PM
306,306,108,12:27:00 AM
307,307,96,12:27:00 PM
308,308,109,12:28:00 AM
309,309,78,12:28:00 PM
310,310,105,12:29:00 AM
311,311,85,12:29:00 PM
312,312,123,12:30:00 AM
313,313,151,12:30:00 PM
314,314,120,12:31:00 AM
315,315,94,12:31:00 PM
316,316,125,12:32:00 AM
317,317,89,12:32:00 PM
318,318,95,12:33:00 AM
319,319,91,12:33:00 PM
320,320,118,12:34:00 AM
321,321,89,12:34:00 PM
322,322,114,12:35:00 AM
323,323,99,12:35:00 PM
324,324,100,12:36:00 AM
325,325,86,12:36:00 PM
326,326,110,12:37:00 AM
327,327,91,12:37:00 PM
328,328,108,12:38:00 AM
329,329,111,12:38:00 PM
330,330,113,12:39:00 AM
331,331,73,12:39:00 PM
332,332,104,12:40:00 AM
333,333,95,12:40:00 PM
334,334,112,12:41:00 AM
335,335,100,12:41:00 PM
336,336,118,12:42:00 AM
337,337,104,12:42:00 PM
338,338,103,12:43:00 AM
339,339,107,12:43:00 PM
340,340,112,12:44:00 AM
341,341,115,12:44:00 PM
342,342,109,12:45:00 AM
343,343,180,12:45:00 PM
344,344,114,12:46:00 AM
345,345,93,12:46:00 PM
346,346,118,12:47:00 AM
347,347,109,12:47:00 PM
348,348,118,12:48:00 AM
349,349,92,12:48:00 PM
350,350,113,12:49:00 AM
351,351,78,12:49:00 PM
352,352,89,12:50:00 AM
353,353,79,12:50:00 PM
354,354,122,12:51:00 AM
355,355,104,12:51:00 PM
356,356,1,12:51:50 AM
357,357,113,12:52:00 AM
358,358,96,12:52:00 PM
